a,ひとつの 
occult , 秘法の 
octave , オクターブ 
onset , 攻撃 
opportune , 適切な 
ordain , ～を聖職に任命する 
ornate , 飾りたてた 
orthodoxy , 一般に認められていること 
oust , ～を追い払う 
outburst , ほとばしり 
outcast , 追放された 
outcry , 叫び 
outright , 完全に 
outset , 手始め 
outweigh , ～より重い 
overcrowd , ～に詰め込み過ぎる 
overgrown , おい茂った 
overhaul , ～を分解検査する 
overhear , ～をふと耳にする 
overload , ～に荷を積み過ぎる 
overpay , 人に多く払い過ぎる 
overpopulation , 人口過剰 
override , ～を圧倒する 
overrun , ～にはびこる 
overstate , 大げさに話す 
pacifist , 平和主義者 
padding , 詰め物 
pageant , 野外劇 
paradigm , 理論的枠組み 
paralysis , 麻痺 
parameter , パラメーター 
paramount , 最高のの 
parch , 熱・太陽などがのど・土地などをからからに乾かす 
parenthesis , 括弧 
parody , もじり 
particularity , 気難しさ 
partisan , 熱烈な支持者 
pastel , パステル 
paternal , 父親らしい 
pawn , ポーン 
payoff , 支払い 
peacekeeping , 平和維持活動 
peacetime , 平時 
penal , 刑事上の 
pendant , ペンダント 
pendulum , 振り子 
penis , 陰茎 
pep , 元気 
performing , 困難なことなどを成し遂げる 
peripheral , 周囲の 
perplexity , 当惑 
perspiration , 汗 
pertain , 関係がある 
pertinent , 適切な 
pervasive , 普及する 
pervert , ～の意味をゆがめる 
petticoat , ペチコート 
phoenix , 不死鳥 
phony , にせの 
piss , おしっこする 
pitiless , 無慈悲な 
plausible , もっともらしい 
plaything , 遊び道具 
pleasurable , 楽しい 
plight , ～を誓う 
plunder , 村・町・国などを略奪して荒らす 
poise , ～をつりあいをとって置く 
poker , ポーカー 
politic , 賢明な 
polytechnic , 工芸 
porcelain , 磁器 
possessed , とりつかれた 
potter , 陶工 
powdery , 粉の 
practicable , 実行可能な 
praiseworthy , 賞賛に値する 
prawn , テナガエビ 
preclude , 事を不可能にする 
predator , 捕食動物 
predictive , 予測的な 
predominantly , 有力に 
premiere , 初演 
preoccupied , 夢中 
preoccupy , 人・人の心をいっぱいにする 
presumable , 仮定できる 
presumption , 推定 
primal , 最初の 
procure , ～を努力して手に入れる 
prod , 突き刺すこと 
projector , 計画者 
proliferation , 増殖 
promenade , 散歩 
proponent , 提案者 
proportionate , 比例 
propriety , 正しさ 
protectionism , 保護貿易政策 
proverbial , ことわざの 
provisional , 暫定的な 
provocative , 挑発 
prowl , 足音をしのばせてうろつき回る 
proximity , 近いこと 
proxy , 代理 
psychiatric , 精神医学の 
pulpit , 説教壇 
punk , つけ木 
purport , ～すると偽って言う 
pygmy , 小人 
quarrelsome , けんか 
quarry , 獲物 
questionable , 疑問 
quid , 1ポンド英貨 
racecourse , 競争路 
radiate , 太陽などが光を放つ 
ramble , あてもなく歩く 
ratify , を批准する 
ration , 配給量 
raven , ワタリガラス 
reactive , 敏感な 
reassurance , 安心 
rebate , 払い戻し 
rebirth , 新しく生まれ変わること 
rebound , 物体がはね返る 
receptive , よく受け入れる 
recharge , バッテリーに再充電する 
recitation , 暗唱 
reclaim , 土地などを造成する 
recourse , 頼ること 
recurrent , 反復性の 
reelect , ～を再選する 
referendum , 国民投票 
refurbish , みがき直す 
refute , 人・意見などの間違っていることを証明する 
regulator , 規制規定をする人 
regulatory , 調節性の 
rehabilitate , ～を元へ戻す 
relational , 関係の 
relativity , 関係のあること 
relegate , 人・物などを追いやる 
relent , 態度・気質・決意などがやわらぐ 
relentless , 無情な 
reliant , 依存している 
remittance , 送金 
repeal , 法律などを公式に無効にする 
repertoire , レパートリー 
repetitive , 繰り返しの 
repository , 貯蔵所 
resell , 転売 
reset , ～を置き直す 
resin , 樹脂 
resonance , 音が鳴り響くこと 
restart , 再始動する 
resumption , 再開 
retard , ～の進歩を遅らせる 
retarded , 知能の遅れた 
rethink , ～を考え直す 
retiring , 引退している 
retrieval , 再帰 
reunite , ～を再びいっしょにする 
revere , ～をあがめる 
reversible , 逆にできる 
revert , 戻る 
reviewer , 批評家 
revolutionize , に革命を起こす 
rhyme , 韻 
rift , 切れ目 
rotary , 回る 
royalist , 王党員 
rubble , 石くず 
ruby , 紅玉 
rung , 横棒 
sabotage , 破壊行為 
safari , 狩猟探検旅行 
saga , 北欧伝説 
sandstone , 砂岩 
saturate , 水などが～にしみ込むを浸す 
savor , 味 
scapegoat , 他人の罪をかぶる人 
scorch , ～を焦がす 
scrawl , ぞんざいに書く 
screaming , 金切り声を出す 
scribble , ～を走り書きする 
scrutinize , ～を綿密に調べる 
scurry , ちょこちょこ走る 
seamless , 継ぎ目のない 
sear , 傷口を焼く 
secretarial , 秘書の 
secretive , 隠しだてする 
sedan , セダン 
selector , 選択者 
semblance , 類似 
semester , 一学期 
semicircle , 半円 
seniority , 年長であること 
sensual , 官能的な 
sesame , ゴマ 
sever , ～を切断する 
shaggy , 毛むくじゃらの 
sham , にせもの 
sheepish , 内気な 
shimmer , ちらちら光る 
shipwreck , 難船 
shortcoming , 欠点 
shorthand , 速記 
showcase , 陳列棚 
showdown , 最終的決着 
shred , 断片 
shroud , 経帷子 
shuffle , 足を引きずる 
shuttle , 杼 
simmer , スープ・肉などがぐつぐつ煮える 
simplistic , 過度に単純化した 
simulate , ～のふりをする 
skeptic , 懐疑論者 
skull , 頭がい骨 
slate , ～を酷評する 
slick , 滑らかな 
sloppy , ぬけて汚れた 
sluggish , のろい 
smear , ～に塗る～～を汚す 
smock , 上っ張り 
smother , ～を窒息させる 
snowflake , 雪片 
snuff , くんくんとかぐこと 
socialization , 社会 
solemnity , 厳粛 
solidarity , 団結 
soot , すす 
sorely , 痛ましく 
sparing , 控え目な 
spasm , けいれん 
spawn , 卵 
speculator , 投機者 
sperm , 精子 
spout , 水・煙などを吹き出す 
sprout , 芽 
spurt , 液体などが噴出する 
stark , 全くの 
statutory , 法定の 
sterling , 英貨の 
stingy , けちな 
stipulate , 規定する 
stoke , 火をかき立てる 
stopover , 旅行途上の短期滞在 
stoppage , 中止 
strenuous , 激しい 
strut , 気どって歩く 
stub , 使い残り 
stud , 飾りびょう 
stunning , 気絶させるような 
subculture , 継代培養 
subdivide , ～をさらに細分化する 
subdivision , 細区画 
subsidize , ～に補助金を与える 
substantive , 名詞 
suitor , 求婚者 
sulfur , イオウ 
sunburn , 日焼け 
superfluous , 余計な 
supposition , 想像 
surmount , 困難・障害などに打ち勝つ 
surveillance , 監視 
surveyor , 測量技師 
suspender , ズボンつり 
sustenance , 糧 
swerve , 急にそれる 
symmetrical , 対称 
symmetry , 対称 
synthesis , 総合 
syrup , シロップ 
tab , つまみ 
tactful , 如才ない 
tactic , 順序の 
tactical , 戦術上の 
tangle , 糸などをもつれさせる 
tee , ティー 
televise , ～をテレビで放送する 
tenure , 任期・保有 
termination , 終わること 
terminus , 目的 
thee , なんじを 
theology , 神学 
theoretically , 理論的に 
therapeutic , 治療の 
throb , 心臓が動悸を打つ 
timidity , おくびよう 
tingle , ずきずきする 
tinker , 鋳掛け屋 
tint , 濃淡 
toddler , よちよち歩きの子供 
toothless , 歯のない 
topple , ぐらぐらする 
tract , 小冊子 
trance , 意識もうろう 
tranquility , 平穏 
transact , 業務などを行う 
transcend , の範囲・限界を越える 
transcontinental , 大陸横断 
transient , 一時の 
transistor , トランジスター 
trauma , 外傷 
treachery , 裏切り 
treatise , 論文 
trek , 旅行 
trespass , 侵害する 
trimming , バランスをとる 
turbulence , 荒れ狂うこと 
ulcer , 潰瘍 
ultraviolet , 紫外線の 
unaccountable , 不可解 
unambiguous , はっきりと 
unauthorized , 不正な 
unbeaten , 負けたことのない 
uncompromising , 妥協しない 
uncontrolled , 無秩序 
undercover , 秘密の 
undercut , 競争者よりも安く売る 
underside , 下側 
underway , 進行中の 
underwrite , 費用負担を承諾する 
unforeseen , 不測の 
unionist , 労働組合員 
unorthodox , 正統でない 
unparalleled , 比類のない 
unprofitable , 不採算 
unspoken , 口に出さない 
unthinkable , 全く考えられない 
untouched , 触れられない 
upheaval , 大変動 
uprising , 反乱 
upside , 上側 
urine , 尿 
usable , 使用できる 
usher , 案内人 
utilitarian , 功利的な 
variant , 異なった 
varnish , ワニス 
vault , アーチ型天井 
veal , 子牛の肉 
venerable , 尊敬するに足る 
ventilate , 部屋・坑内などを換気する 
venue , 行為地 ・現場 
versatile , 多方面な 
veto , 拒否権 
vex , いらいらさせる 
viable , 実行可能な 
vicar , 教区牧師 
vile , 下劣な 
vintage , 優良ぶどう酒 
visibility , 目に見えること 
visionary , 幻の 
vista , 通路お通してみたながめ 
volatile , 揮発性の 
volley , 一斉射撃 
wade , 歩く 
wager , かけ 
warlike , 好戦的な 
wary , 油断のない 
wedge , くさび 
wee , とても小さい 
weighty , 重量のある 
weld , 金属などを溶接する 
wharf , 波止場 
whim , 気まぐれ 
wig , かつら 
wince , ひるむ 
wistful , もの悲しい 
woo , 女性に求愛する 
wooded , 樹木の茂った 
wreckage , 残がい 
wrench , ～をぐいとねじる 
wrestle , 格闘する 
wrestler , レスリング選手 
wretch , 不運な人 
wry , ゆがんだ 
yoga , ヨガ 
zoological , 動物学的な 
abbey , 大修道院 
aberration , 狂い 
abet , ～を扇動する 
abiding , 永続的な 
ablaze , 燃えたって 
abrasive , すり減らす 
abstinence , 断つこと 
abyss , 深い淵 
accomplice , 共犯者 
accrue , 生じる 
acquit , 人に無実を宣告する 
acquittal , 無罪放免 
acronym , かしら文字語 
acumen , 鋭さ 
adamant , 絶対に砕けない堅固な物質 
adjoining , 隣り合う 
admonish , 人に注意する 
adrift , 漂って 
adultery , 姦通 
affable , 人好きのする 
affiliated , ～を加入させる 
aggrieved , 侮辱された 
ailing , 病気で苦しんでいる 
airborne , 空気で運ばれる 
alias , 別名 
align , ～を一列に並べる 
alleviate , を軽減する 
alluring , 誘惑する 
allusion , ほのめかし 
altruism , 利他主義 
alumnus , 卒業生 
ambivalent , 二重傾向のある 
amply , 広々と 
anemia , 貧血 
anesthesia , 麻酔 
anesthetic , 麻酔の 
anew , 新たに 
animosity , 敵意 
annex , さらに大きな物を付け加える 
annuity , 年金 
annul , 法律などを無効にする 
anomaly , 変則 
ante , アンティ 
anthem , 祝いの歌 
antidote , 解毒剤 
antipathy , 反感 
antiquated , 古めかしい 
apocalypse , 黙示 
apostle , 使徒 
appease , 人・怒りなどを静める 
apprehensive , 気遣う 
arbor , 軸 
arcane , 秘密の 
archipelago , 群島 
aria , アリア 
arid , 乾燥した 
ark , 箱舟 
arson , 放火 
arthritis , 関節炎 
ascendancy , 優勢 
aspen , ハコヤナギ 
assortment , 分類 
asteroid , 星状の 
astute , 機敏な 
asylum , 保護施設 
attrition , 摩擦 
audacious , 大胆な 
audacity , 大胆さ 
aura , 発気 
austere , 厳しい 
austerity , 厳しさ 
autocratic , 独裁の 
avenge , ～のあだを討つ 
avid , 貪欲な 
backdrop , 背景幕 
backer , 後援者 
backlash , 跳ね返り 
baggy , ふくれた 
balk , 建画などのじゃまをする 
bane , 害毒 
banter , 冗談 
barbed , あごのある 
bard , ケルト族の吟遊詩人 
baroque , バロック式の 
barrage , 弾幕 
bask , 暖まる 
bastion , 稜堡の突出して部分 
battalion , 大隊 
beacon , かがり火 
bedrock , 基盤岩 
beguile , 人をだます 
belligerent , 好戦的な 
bemoan , ～を慨嘆する 
benchmark , 水準点 
benefactor , 恩人 
bidder , せり札の宣言者 
bigotry , がんこな信仰 
biopsy , 組織診 
birch , カバの木 
blatant , あからさまな 
blight , 胴枯れ病 
blister , 水ぶくれ 
bluff , 虚勢 
blurt , ～をなにげなく言う 
boardroom , 重役会議室 
bogus , Phony 
boisterous , ばか騒ぎをする 
bombard , ～を砲撃する 
bombardment , 衝撃 
boomer , ブーマー世代 
booty , ぶんどり品 
booze , 大酒を飲む 
botch , ～をぶかっこうに繕う 
bounty , 気前のよさ 
bower , 木陰 
brandish , ふりまわす 
brash , せっかちな 
bravado , 虚勢 
brawl , 騒々しいけんか～大騒ぎ 
brazen , 真ちゅう製の 
breathtaking , 息をのむ 
brethren , 兄弟 
brittle , 壊れやすい 
buffer , 緩衝器 
bullish , 雄牛のような 
bun , ロールパン 
buoyant , 浮揚性のある 
burgeon , 新芽を出す 
burly , たくましい 
burnish , 金属などをみがく 
burrow , 穴 
buttress , 控え壁 
buyout , バイアウト 
cache , 隠し場所 
cadet , 士官学校生徒 
calculus , 結石 
caliber , 内径 
canine , 犬の 
canny , 慎重で抜け目のない 
capitalize , ～を大文字で書く 
capitulate , 降伏する 
carcass , 死体 
cardiac , 心臓の 
cardiovascular , 心血管 
cartel , カルテル 
caste , カースト 
catalyst , 触媒 
catapult , 石弓 
caucus , 幹部会議 
centennial , 100年祭 {形} 
centerpiece , 目玉 
chaplain , 礼拝堂つき牧師 
charred , 婦人が雑役をする 
chasm , 大きな深い裂け目 
chasten , 神や苦難などが人を懲らしめる 
chide , たしなめる 
choreographer , 振付師 
chromosome , 染色体 
circumvent , ～を裏をかく 
citation , 引用 
civility , 礼儀正しさ 
clamor , わいわいという騒ぎ 
clamp , じゃがいもの山 
clandestine , 内密の 
cleric , 聖職者 
clientele , 弁護依頼人 
clinch , 打ち込んだくぎなどの突出部を折り曲げる 
clot , ゼリー状の固まり 
clout , 強い影響力 
clutter , 場所などを取り散らかす 
coalesce , 合体する 
cobble , 修繕する 
coffer , 貴重品箱 
cohort , 歩兵隊となる 
collateral , 並び合った 
colt , 子馬若ごま 
comatose , こん睡状の 
combo , コンボ 
comer , 来る人 
commandment , 神の命令 
commando , 特別奇襲隊員 
communique , 公報 
compilation , 編集 
complacency , 満足 
complicity , 共謀 
comptroller , 検査官 
concerted , 協定による 
concerto , 協奏曲・コンチェルト 
concoct , 作り上げる 
condone , 人が罪・過失などを大目に見る 
confederate , 共犯 
confiscate , ～を没収する 
conflagration , 大火 
conglomerate , 集塊状の 
conjure , ～を魔法で出す 
connoisseur , 目利き 
conservationist , 保存 
consummate , しとげる 
containment , 封じ込め 
contemplative , 観想 
contentious , 論争的な 
contingency , 有事 
contingent , 起こるかもしれない 
continuum , 連続 
contraception , 避妊 
contraceptive , 避妊 
contrition , 悔恨 
conundrum , 地口なぞ 
convent , 修道女の団体 
convergence , 1点に集まる 
cooper , cooperative 
cornerstone , 礎石 
coronary , 冠状動脈の 
corporal , 伍長 
corpus , 文書資料の集成 
corroborate , 確証 
corrosive , 腐食させる 
cortex , 皮質 
counterfeit , 貨幣などを偽造する 
courthouse , 裁判所 
courtship , 求愛 
covert , 隠れ場 
coy , はにかむふりをする 
crackdown , 厳重な取締り 
crackle , パチパチと音をたてる 
crap , うんこ 
crate , わく箱 
crony , 親友 
crumple , 紙などをくしゃくしゃにする 
cub , 野獣の子 
cuff , ソデ口 
culinary , 台所用の 
cull , 花などを摘む 
culmination , 最高点 
cumbersome , 面倒 
curator , 後見人 
curt , そっけない 
curtail , ～を削り取る 
cutback , 削減 
cynic , 皮肉屋 
cynicism , 皮肉 
czar , 旧ロシア皇帝 
daunting , ひるませるような 
dearth , 不足 
debacle , 鉄砲水 
debase , 人格・評板などを落とす 
debilitate , 病気などが人・体を衰弱させる 
decipher , 分かりにくい文字などを判読する 
decor , 装飾 
defamation , 中傷 
defection , 離脱 
deference , 服従 
deflate , タイヤ・気球などの空気を抜く 
deft , 器用な 
defunct , 現存しない 
degenerate , 退歩する 
deity , 神 
deluge , 大洪水 
delve , 探究する 
demeanor , ふるまい 
dementia , 痴呆 
demographic , 人口統計 
demolition , 破壊 
demur , 異議を唱える 
denomination , 宗派 
dent , 歯 
deplete , 価値・分量・内容などを激減させる 
deport , 自分をふるまう 
deportation , 国外追放 
depose , 国王を退位させる 
deride , あざ笑う 
derision , あざけり 
destitute , 貧困な 
deterioration , 悪化 
devaluation , 平価切り下げ 
devious , 遠回りの 
devolve , 義務・責任などをゆだねる 
diabetic , 糖尿病の 
diaper , おしめ 
dictum , 意見 
dire , 恐ろしい 
disband , 組織・隊などを解散する 
discretionary , 裁量 
disgruntled , 不満な 
disintegration , 崩壊 
disparage , の信用を落とす 
disparate , 異なる 
disparity , 本質的な相違 
disproportionate , 不均衡な 
distraught , 取り乱した 
divulge , 秘密などを漏らす 
doctorate , 博士号 
doe , 雌 
dogged , がんこな 
dolly , お人形ちゃん 
dope , ドープ 
dour , むっつりした 
downplay , 見くびる 
downright , 徹底的な 
drab , さえない 
drape , ～を掛け布でおおう 
drawl , ゆっくり話す 
dredge , 粉などを振り掛ける 
drench , 人・衣服などをずぶぬれにする 
drone , 雄バチ 
duct , 送水管 
duel , 決闘 
eclectic , 取捨選択して作られた 
edifice , 大建築物 
efficacy , 効きめ 
elf , 妖精 
eligibility , 適任 
emanate , 命令・考え・提案・におい・音などが出る 
embodiment , 化身 
embroil , 人を巻き込む 
empathy , 感情移入 
enactment , 立法 
enclave , 飛び領土 
endear , 人・自分を愛されるようにする 
endemic , ある地方に特有の 
enigma , 解きにくいなぞ 
ensemble , 総体 
entourage , 側近 
entreat , 人に懇願する 
entrench , ～をざんごうに入れる 
epicenter , 震央 
epitaph , 墓碑銘 
eschew , ある行為・悪癖・食物などを避ける 
espionage , スパイ行為 
espouse , 主義・説などを信奉する 
etch , 絵などをエッチングで描く 
ethereal , エーテルの 
ethos , 気風 
euphemism , 婉曲語法 
euphoria , 幸福 
euthanasia , 安楽死 
evangelical , 福音主義の 
evangelist , 福音伝道者 
evasion , 逃れること 
evasive , 回避する 
evocative , 呼び起こす 
exacerbate , 激化させる 
exacting , 厳格な 
excise , できたものなどを切り取る 
exemplary , 模範的な 
exhale , 人が息・煙などを吐き出す 
exhilarate , 陽気にする 
exhort , 人に強く勧める 
expatriate , 人を国外に追放する 
extol , ～を絶賛する 
extradition , 逃亡犯人の送還 
extremist , 過激論者 
exuberant , 元気に満ちあふれている 
exult , 歓喜する 
falcon , タカ 
farce , 笑劇 
fathom , ひろ 
fawn , 子ジカ 
ferment , 発酵体 
ferocity , どう猛性 
fervent , 熱烈な 
fetus , 胎児 
feud , 不和 
fiasco , 大失敗 
fiat , 命令 
fickle , 変わりやすい 
fiddle , バイオリン 
fin , ひれ 
financier , 財政家 
finesse , 策略 
firearm , 火器 
flagrant , 言語道断の 
flagship , 旗艦 
flamboyant , 色鮮やかな 
flaunt , 自分を誇示する 
fledgling , 羽の生えそろったばかりのひな鳥 
fleeting , 速く過ぎてゆく 
flex , 手足などを曲げる 
flimsy , 薄っぺらな 
flirtation , ふざけ 
flounder , もがく 
fluke , 思いがけない訪れ 
fluorescent , 蛍光 
flurry , あわてさせる 
flux , 流動 
fodder , 家畜の飼料 
fondle , ～をかわいがる 
footage , フート単位の長さ体積 
footing , 足もと 
foray , 不意打ち 
forcing , 力 
foreman , 職長 
forensic , 法廷の 
forestall , ～を先手を打って防ぐ 
forgo , ～をなしで済ませる 
forlorn , 見捨てられた 
forthright , 単刀直入の 
fragmentation , 断片化 
fraternal , 兄弟の 
fraudulent , 詐欺の 
frigid , 寒さの厳しい 
frolic , 浮かれ騒ぎ 
funk , おじけ 
funnel , 集中する 
furor , 熱狂 
furrow , 溝 
gala , 祭り 
gall , すり傷 
galvanize , ～を電流をかけて刺激する 
garland , 花輪 
garner , 蓄える 
garrison , 守備隊 
gauntlet , こて 
genealogy , 系図 
genesis , 起源 
genetics , 遺伝学 
genital , 生殖の 
genteel , 育ちのよい 
ghastly , ぞっとする 
ghetto , ユダヤ人街 
giddy , めまいがする 
gild , ～に金ぱくをかぶせる 
glean , 小麦などの落ち穂を拾う 
glee , よろこび 
glib , 口の軽い 
glimmer , ちらちらする光 
gloat , 満足げに眺める 
glowing , 白熱した 
glum , むっつりした 
glut , 人に飽きるほど食べさせる 
gnaw , 動物が～をかじる 
goad , 突き棒 
goldsmith , 金細工人 
goody , キャンディーやクッキーなどの菓子 
gouge , 丸のみ 
graffiti , 壁画 
graft , つぎ穂 
grandiose , 堂々たる 
grapple , で～を引っ掛ける 
gregarious , 群居性の 
grid , 格子 
grit , 小砂 
grope , 手探りする 
grouse , ライチョウ 
grudge , 恨み 
grudging , 不本意の 
grueling , 疲れ果てさせる 
gruesome , 気味の悪い 
grunt , ぶうぶう言う鳴く 
guise , 服装 
hallmark , 極印 
hallucination , 幻覚 
halo , 光輪 
handcuff , 手錠 
hapless , 不運な 
harrowing , 痛ましい 
harry , ～を繰り返し攻撃する 
hassle , 激論 
headlong , まっ逆さまに 
heady , せっかちな 
hearten , 物事が人を元気づける 
heather , ヒース属の植物 
hefty , 重くて動かせない 
hegemony , 優位 
hepatitis , 肝炎 
heresy , 異説 
heterosexual , 異性愛 
heyday , 全盛期 
hiatus , 空白 
hilarious , 陽気な 
hindsight , あと知恵 
hoax , 悪ふざけ 
homage , 尊敬 
homicide , 殺人 
hone , 砥石 
horde , 遊牧民の群れ 
horrendous , 身の毛をよだたせる 
hub , こしき 
hulk , 無残な姿になった物・老朽船 
hull , 外皮 
humiliating , 不面目な 
hump , こぶ 
hunch , 両肩・背中などを丸める 
hurtle , 激しくぶつかる 
hustle , 人がてきぱきとやる 
hyperbole , 誇張法 
hypertension , 高血圧 
idiosyncratic , 特異体質 
idyllic , 田園詩の 
ignite , ～に火をつける 
illicit , 禁制の 
impart , 事を与える 
impasse , 行き詰まり 
impeccable , 欠点のない 
impede , ～を妨げる 
implacable , 無情な 
implant , 思想・感情などを刻み込む 
imposition , 課すること 
impoverished , 貧しい 
impromptu , 準備なしに 
impunity , 罰を受けないこと 
incarnation , 人間の姿をとること 
incendiary , 火事を越こす 
incest , 近親相姦 
incite , 感情などをかき立てる 
incompetence , 無能 
incriminate , 人に罪を負わせる 
indelible , 消すことのできない 
inept , 不適当な 
inexorable , 情け容赦のない 
inferno , 地獄 
infest , 害虫・盗賊などがに横行する 
inflame , 人を興奮させる 
informant , 通報者 
infrared , 赤外線 
infringement , 侵害 
infusion , 教え込むこと 
inhale , 空気などを吸い込む 
injunction , 命令 
innocuous , 刺激のない 
inoculation , 予防接種すること:予防注射 
insatiable , 飽くことのない 
insidious , 人をだます 
insinuate , ～をほのめかす 
insolvent , 支払い能力のない 
instill , 思想・感情などをしみ込ませる 
insurgent , 暴動を起こした 
insurrection , 暴動 
inter , 埋める 
intestinal , 腸の 
intractable , 手に負えない 
intravenous , 静脈内 
intrepid , 恐れを知らない 
introspective , 内省 
inundate , ～を水浸しにする 
irate , 怒った 
jab , ジャブ 
jagged , ぎしぎしした 
jay , カケス 
jeopardy , 危険 
jettison , 遭難船や遭難機が積み荷を投げ捨てる 
jubilant , 歓喜に満ちた 
jumble , ～をごたまぜにする 
junta , 暫定政府 
knack , こつ 
labyrinth , 迷路 
lama , ラマ僧 
languish , 人・動物が元気をなくす 
laud , 賛美 
launder , 衣類などを洗濯する 
laureate , 月桂冠をいただいた 
leach , 水などをこす 
legion , 軍団 
leisurely , ゆっくりした 
leukemia , 白血病 
lewd , みだらな 
lexicon , 辞書 
libel , 名誉毀損罪 
liken , ～をたとえる 
lineage , 血統 
lingerie , 婦人用肌着 
litigation , 訴訟 
loathe , ～をきらう 
lob , ボールをゆるく高く打ち上げる 
logging , 丸太切り出し 
loophole , 小窓 
lore , 民間伝承 
ludicrous , おかしい 
lurch , 急に前後に動くこと 
lurid , 赤々と輝く 
lush , 新鮮な 
luster , 光沢 
magnolia , もくれん 
makeshift , 当座の間に合わせの物 
malaise , 気分のすぐれない状態 
malign , 悪影響のある 
mannerism , マンネリズム 
marquee , 生産原型 
marrow , 髄 
mason , レンガ職人 
masterly , 名人の 
maverick , 所有者の焼き印のない子牛 
meander , 川が曲がりくねって進む 
measles , はしか 
meltdown , 融解 
menopause , 月経閉止期 
metabolism , 新陳代謝 
metaphysical , 形而上学 
meteor , 流星 
microbe , 微生物 
middleman , 仲買人 
milieu , 環境 
mirage , 蜃気楼 
miscarriage , 失敗 
misdemeanor , 軽犯罪 
misgiving , 恐れ 
mitigate , 苦痛・怒りなどを和らげる 
mole , モグラ 
morbid , 病的な 
moribund , 死にかけている 
mortify , 感情・欲情などを抑制する 
motley , まだらの 
mounting , 据えつけ 
mule , つっかけ 
mull , 酒・ワイン・りんご酒などを香料・砂糖を入れて温める 
mural , 壁の 
murky , 暗い 
mutant , 変異体 
nag , ガミガミ言う 
narrate , ～の話をする 
nasal , 鼻の 
nausea , 吐き気 
nestle , ここちよく落ち着く 
neural , 神経の 
neuron , ニューロン 
nibble , 少しずつかじる 
nimble , すばやい 
nipple , 乳首 
nitrogen , 窒素 
nominal , 名目上の 
nudge , ～を軽くつつく 
null , 無効の 
nuptial , 結婚の 
nutty , 木の実の多い 
obese , でっぷり肥えた 
obnoxious , 有害な 
obscenity , わいせつ 
obsessive , 妄想がとりついて 
omen , 前兆 
ominous , 不吉な 
onslaught , 猛攻撃 
ooze , にじみ出る 
opaque , あいまいな 
opium , アヘンケシの種子から製造 
optic , 目の 
opus , 著作 
oracle , 神託 
ordinance , 法令 
orgy , 乱交パーティー 
outspoken , 率直な 
outstrip , ～に勝る 
ovation , 熱烈な歓迎 
overblown , ふくれあがった 
overdose , 盛りすぎ 
overly , あまりに 
overriding , 他のすべてに優先する 
overshadow , 影を投げ掛ける 
overture , 序曲 
palatable , 趣味にかなう 
palpable , 触知できる 
pamper , 飽食させる 
panther , ヒョウ 
paranoia , 偏執病 
parity , 同等であること 
parochial , 小教区の 
pathology , 病理学 
patriarch , 家長 
patrician , 貴族 
patronage , 後援 
patronize , 芸術家・施設などを後援する 
payroll , 給料支払表 
peddle , 品物を行商する 
pedigree , 家系・血統 
penchant , 強い好み 
perennial , 一年じゅう続く 
perimeter , 周囲 
perjury , 偽証 
perk , 頭・尾などをぴんと上げる 
perky , 活発で元気のよい 
pernicious , 有害な 
perpetrate , 罪・過失などを犯す 
persona , ペルソナ 
petal , 花弁 
pew , ベンチ形信者席 
phantom , 幽霊 
pharmaceutical , 薬学 
philanthropy , 慈善活動 
picket , くい 
pilgrimage , 巡礼 
pimp , 売春あっせん業者 
pitfall , 落とし穴 
pivot , 旋回軸 
pivotal , 旋回軸の 
placate , ～をなだめる 
placebo , 気休め薬 
plagiarism , 盗用 
platoon , 小隊を作る 
plaza , 広場 
pleading , 申し開き 
plush , プラシ天 
plywood , ベニヤ合板 
pneumonia , 肺炎 
pod , さや・のパッド 
poignant , 心を筋さぶられる 
poised , 動き出そうとしている 
pollen , 花粉 
pore , 熟読する 
portal , 門 
posh , すばらしい 
precinct , 構内 
precocious , 早熟性の 
precursor , 前朕 
predatory , 肉食の 
predicament , 苦境 
prelude , 前兆 
preposterous , 非常識 
primate , 霊長類の動物 
pristine , 初期の 
probation , 試用 
procurement , 調達 
prodigious , 巨大な 
prodigy , 非凡な人 
profane , 世俗の 
proffer , 申し出 
proliferate , グテリアなどが増殖する 
prolific , 多産の 
pronounced , 発音 
proprietary , 所有主の 
proprietor , 持ち主 
prostitution , 売春 
protagonist , 主役 
prowess , すばらしい勇気 
pseudo , 偽の 
pseudonym , 偽名 
psyche , ミノガ 
pun , 駄じゃれ 
puncture , ～に穴をあける 
pundit , インドの学者 
punitive , 処罰のための 
putative , 推定推測の 
putt , パット 
quadruple , 4倍の 
quagmire , 沼地 
quantum , 量子 
quash , 判決・決議などを取り消す 
quell , 鎮圧する 
quintessential , 真髄 
quip , 警句 
quirk , 変な癖 
rabid , 過激な 
raider , 急襲する人 
rampant , はびこった 
rampart , 塁壁 
rancor , 深い恨み 
ransom , 身のしろ金 
rant , 大げさに言う 
rapport , 親密な関係 
rapprochement , 和解 
rationale , 理論的解釈 
raucous , しわがれた 
reactionary , 反動的な 
rebuff , そっけない拒絶 
recalcitrant , かたくなで手に負えない 
reconnaissance , 偵察 
recoup , 損失分などを取り戻す・差引く 
rectitude , 正直 
reflex , 反射 
regal , 王の 
regimen , 養生規則 
registry , 登録すること 
reinstate , ～を戻す 
relapse , 逆戻りする 
